['trace:', '3.6323974082073436']
['slate:', '3.6332613390928725']
['crate:', '3.638876889848812']
['least:', '3.647084233261339']
['train:', '3.6518358531317494']
['trice:', '3.652267818574514']
['slant:', '3.6548596112311014']
['leant:', '3.6565874730021597']
['truce:', '3.6587473002159827']
['crane:', '3.6591792656587474']
['tripe:', '3.6622030237580994']
['dealt:', '3.6643628509719224']
['trade:', '3.6652267818574513']
['stale:', '3.665658747300216']
['talon:', '3.665658747300216']
['crone:', '3.6682505399568033']
['splat:', '3.6691144708423327']
['trend:', '3.673866090712743']
['stare:', '3.6747300215982723']
['trope:', '3.6747300215982723']
['shalt:', '3.6755939524838013']
['plant:', '3.676889848812095']
['plate:', '3.676889848812095']
['leapt:', '3.6773218142548596']
['snail:', '3.6773218142548596']
['drape:', '3.6777537796976243']
['parse:', '3.679049676025918']
['scale:', '3.6794816414686826']
['alert:', '3.679913606911447']
['react:', '3.679913606911447']
['snare:', '3.6803455723542116']
['clone:', '3.681209503239741']
['tenor:', '3.681209503239741']
['learn:', '3.681641468682505']
['slain:', '3.681641468682505']
['spare:', '3.68207343412527']
['blast:', '3.6825053995680346']
['plait:', '3.6825053995680346']
['plane:', '3.6825053995680346']
['tried:', '3.6825053995680346']
['siren:', '3.6829373650107993']
['smart:', '3.6833693304535635']
['pearl:', '3.6846652267818576']
['snore:', '3.6846652267818576']
['stole:', '3.6855291576673865']
['crept:', '3.686393088552916']
['rinse:', '3.686393088552916']
['table:', '3.686393088552916']
['tapir:', '3.686393088552916']
['cater:', '3.68682505399568']
['roast:', '3.68682505399568']
['lance:', '3.687257019438445']
['scare:', '3.687257019438445']
['tread:', '3.687257019438445']
['close:', '3.6881209503239742']
['slice:', '3.6885529157667385']
['alter:', '3.688984881209503']
['crest:', '3.688984881209503']
['stair:', '3.688984881209503']
['cairn:', '3.689416846652268']
['slope:', '3.689416846652268']
['clasp:', '3.6898488120950326']
['saner:', '3.6907127429805615']
['sport:', '3.6907127429805615']
['saint:', '3.692008639308855']
['crust:', '3.69244060475162']
['prone:', '3.69244060475162']
['slept:', '3.69244060475162']
['tonal:', '3.6928725701943845']
['later:', '3.693304535637149']
['lapse:', '3.694168466522678']
['drone:', '3.695464362850972']
['trail:', '3.695464362850972']
['satin:', '3.6958963282937365']
['taper:', '3.6958963282937365']
['actor:', '3.69719222462203']
['salon:', '3.69719222462203']
['clean:', '3.6980561555075595']
['risen:', '3.6984881209503238']
['scant:', '3.6984881209503238']
['paste:', '3.6989200863930884']
['print:', '3.6989200863930884']
['price:', '3.699352051835853']
['spire:', '3.699352051835853']
['grant:', '3.699784017278618']
['strap:', '3.700215982721382']
['irate:', '3.7006479481641468']
['blare:', '3.7010799136069115']
['place:', '3.7010799136069115']
['space:', '3.7010799136069115']
['plain:', '3.7019438444924404']
['stone:', '3.7019438444924404']
['share:', '3.702375809935205']
['steal:', '3.7032397408207345']
['ranch:', '3.7036717062634987']
['panel:', '3.7041036717062634']
['spelt:', '3.7041036717062634']
['split:', '3.704535637149028']
['renal:', '3.704967602591793']
['spurt:', '3.704967602591793']
['coast:', '3.705399568034557']
['pilot:', '3.705399568034557']
['scrap:', '3.705399568034557']
['trial:', '3.705399568034557']
['caste:', '3.7058315334773217']
['scone:', '3.7058315334773217']
['tramp:', '3.7058315334773217']
['plier:', '3.7062634989200864']
['trash:', '3.7062634989200864']
['resin:', '3.706695464362851']
['scent:', '3.706695464362851']
['spice:', '3.706695464362851']
['cleat:', '3.7071274298056154']
['plied:', '3.7071274298056154']
['raise:', '3.7071274298056154']
['solar:', '3.7071274298056154']
['gland:', '3.70755939524838']
['glare:', '3.70755939524838']
['since:', '3.70755939524838']
['spent:', '3.70755939524838']
['strip:', '3.70755939524838']
['heist:', '3.7079913606911448']
['pleat:', '3.7079913606911448']
['sonar:', '3.7079913606911448']
['carol:', '3.7084233261339095']
['scalp:', '3.7084233261339095']
['snort:', '3.7092872570194384']
['onset:', '3.709719222462203']
['polar:', '3.709719222462203']
['stain:', '3.710583153347732']
['clear:', '3.7110151187904967']
['prose:', '3.7110151187904967']
['heart:', '3.7114470842332614']
['decor:', '3.711879049676026']
['scald:', '3.711879049676026']
['snarl:', '3.711879049676026']
['plaid:', '3.7123110151187904']
['penal:', '3.712742980561555']
['copse:', '3.7131749460043197']
['petal:', '3.7131749460043197']
['sloth:', '3.7131749460043197']
['purse:', '3.7140388768898487']
['spilt:', '3.7144708423326134']
['caper:', '3.714902807775378']
['saute:', '3.714902807775378']
['boast:', '3.7153347732181428']
['laden:', '3.715766738660907']
['paler:', '3.7161987041036717']
['cable:', '3.7166306695464364']
